CAL1125054.1 Cladocopium269
CAL1125515.1 Cladocopium730
CAL1124793.1 Cladocopium8
CAL1125380.1 Cladocopium595
CAL1125270.1 Cladocopium485
CAL1124904.1 Cladocopium119
CAL1125246.1 Cladocopium461
CAL1125076.1 Cladocopium291
CAL1124975.1 Cladocopium190
CAL1124848.1 Cladocopium63
CAL1124808.1 Cladocopium23
CAL1125571.1 Cladocopium786
CAL1125528.1 Cladocopium743
CAL1124916.1 Cladocopium131
CAL1125574.1 Cladocopium789
CAL1125167.1 Cladocopium382
CAL1125520.1 Cladocopium735
CAL1125233.1 Cladocopium448
CAL1125612.1 Cladocopium827
CAL1125467.1 Cladocopium682
CAL1125453.1 Cladocopium668
CAL1125326.1 Cladocopium541
CAL1125365.1 Cladocopium580
CAL1125525.1 Cladocopium740
CAL1124795.1 Cladocopium10
CAL1125261.1 Cladocopium476
CAL1125154.1 Cladocopium369
CAL1125037.1 Cladocopium252
CAL1125139.1 Cladocopium354
CAL1125400.1 Cladocopium615
CAL1125338.1 Cladocopium553
CAL1125424.1 Cladocopium639
CAL1124874.1 Cladocopium89
CAL1125000.1 Cladocopium215
CAL1125226.1 Cladocopium441
CAL1125543.1 Cladocopium758
CAL1124790.1 Cladocopium5
CAL1125092.1 Cladocopium307
CAL1125562.1 Cladocopium777
CAL1125157.1 Cladocopium372
CAL1125199.1 Cladocopium414
CAL1125060.1 Cladocopium275
CAL1125608.1 Cladocopium823
CAL1125391.1 Cladocopium606
CAL1125107.1 Cladocopium322
CAL1125559.1 Cladocopium774
CAL1124959.1 Cladocopium174
CAL1125182.1 Cladocopium397
CAL1125179.1 Cladocopium394
CAL1125117.1 Cladocopium332
CAL1125110.1 Cladocopium325
CAL1125375.1 Cladocopium590
CAL1125217.1 Cladocopium432
CAL1124907.1 Cladocopium122
CAL1125175.1 Cladocopium390
CAL1125322.1 Cladocopium537
CAL1125627.1 Cladocopium842
CAL1125425.1 Cladocopium640
CAL1125336.1 Cladocopium551
CAL1125367.1 Cladocopium582
CAL1124890.1 Cladocopium105
CAL1125351.1 Cladocopium566
CAL1125359.1 Cladocopium574
CAL1125503.1 Cladocopium718
CAL1125280.1 Cladocopium495
CAL1125119.1 Cladocopium334
CAL1125061.1 Cladocopium276
CAL1125328.1 Cladocopium543
CAL1124974.1 Cladocopium189
CAL1124872.1 Cladocopium87
CAL1125597.1 Cladocopium812
CAL1125230.1 Cladocopium445
CAL1125028.1 Cladocopium243
CAL1125247.1 Cladocopium462
CAL1125324.1 Cladocopium539
CAL1124912.1 Cladocopium127
CAL1125099.1 Cladocopium314
CAL1125443.1 Cladocopium658
CAL1125196.1 Cladocopium411
CAL1124987.1 Cladocopium202
CAL1124806.1 Cladocopium21
CAL1125628.1 Cladocopium843
CAL1125508.1 Cladocopium723
CAL1125374.1 Cladocopium589
CAL1124832.1 Cladocopium47
CAL1125390.1 Cladocopium605
CAL1125163.1 Cladocopium378
CAL1124920.1 Cladocopium135
CAL1125040.1 Cladocopium255
CAL1125049.1 Cladocopium264
