Cladocopium667	K07300
Cladocopium19727	K02895
Cladocopium16345	K01866
Cladocopium36323	K12823
Cladocopium23321	K03327
Cladocopium37270	K01648
Cladocopium27445	K22943
Cladocopium33852	K06941
Cladocopium257	K03924
Cladocopium6852	K07305
Cladocopium8561	K01624
Cladocopium428	K02886
Cladocopium4461	K01866
Cladocopium10314	K13761
Cladocopium26865	K10251
Cladocopium30780	K00074
Cladocopium25747	K14411
Cladocopium35781	K03675
Cladocopium12189	K02739
Cladocopium41825	K08151
Cladocopium32996	K02516
Cladocopium30043	K03010
Cladocopium6494	K12823
Cladocopium6536	K12323
Cladocopium27469	K01006
Cladocopium1016	K07552
Cladocopium22047	K02183
Cladocopium1290	K01176
Cladocopium10481	K12823
Cladocopium121	K03272
Cladocopium33763	K10408
Cladocopium261	K02355
Cladocopium38094	K03676
Cladocopium2963	K02335
Cladocopium13043	K26730
Cladocopium37598	K15259
Cladocopium44725	K01673
Cladocopium600	K13892
Cladocopium21705	K01173
Cladocopium3075	K06496
Cladocopium17845	K23002
Cladocopium43393	K01893
Cladocopium28858	K04515
Cladocopium21786	K05643
Cladocopium2284	K00002
Cladocopium6508	K09571
Cladocopium7399	K12440
Cladocopium39618	K00545
Cladocopium25992	K00933
Cladocopium25174	K08798
Cladocopium35256	K16675
Cladocopium11516	K02147
Cladocopium24151	K01890
Cladocopium22355	K00558
Cladocopium10891	K00700
Cladocopium3955	K02183
Cladocopium4699	K10392
Cladocopium33537	K01376
Cladocopium11488	K07374
Cladocopium6162	K05841
Cladocopium17373	K01881
Cladocopium41434	K07126
Cladocopium41024	K24512
Cladocopium18798	K12373
Cladocopium6289	K00895
Cladocopium643	K05825
Cladocopium40767	K06130
Cladocopium4637	K01254
Cladocopium6141	K07002
Cladocopium24733	K10393
Cladocopium25131	K00939
Cladocopium27718	K10885
Cladocopium20952	K01689
Cladocopium21449	K01783
Cladocopium17898	K14297
Cladocopium23970	K17619
Cladocopium38460	K23538
Cladocopium21252	K05766
Cladocopium3055	K14541
Cladocopium14082	K13761
Cladocopium37173	K24936
Cladocopium9018	K14569
Cladocopium20563	K08830
Cladocopium41384	K00600
Cladocopium24567	K14442
Cladocopium1408	K01807
Cladocopium36348	K09649
Cladocopium8495	K09500
Cladocopium2667	K27705
Cladocopium5763	K01379
Cladocopium32266	K08970
Cladocopium17739	K10394
Cladocopium39210	K08287
Cladocopium25327	K12397
Cladocopium36151	K14415
Cladocopium9629	K04908
Cladocopium4348	K06221
Cladocopium42125	K16914
Cladocopium19577	K08823
Cladocopium41905	K01785
Cladocopium15330	K10770
Cladocopium42207	K19613
Cladocopium17880	K10453
Cladocopium24137	K02026
Cladocopium18918	K10801
Cladocopium20830	K10325
Cladocopium15658	K15255
Cladocopium36836	K01641
Cladocopium39927	K05665
Cladocopium44924	K17710
Cladocopium42531	K03686
Cladocopium43483	K10645
Cladocopium287	K12132
Cladocopium29139	K07374
Cladocopium10555	K11494
Cladocopium35908	K13412
Cladocopium4991	K00895
Cladocopium346	K09903
Cladocopium18620	K01802
Cladocopium25652	K22614
Cladocopium20431	K17362
Cladocopium32399	K09580
Cladocopium25216	K03978
Cladocopium33109	K12400
Cladocopium32024	K01673
Cladocopium44065	K13184
Cladocopium32679	K12878
Cladocopium34475	K01365
Cladocopium2137	K15889
Cladocopium27818	K00167
Cladocopium39240	K10408
Cladocopium44562	K08606
Cladocopium43018	K01834
Cladocopium23344	K11436
Cladocopium34241	K14538
Cladocopium13076	K07146
Cladocopium9755	K21440
Cladocopium683	K14855
Cladocopium30757	K10147
Cladocopium44115	K15112
Cladocopium15492	K13126
Cladocopium43096	K04309
Cladocopium6360	K07376
Cladocopium4353	K10770
Cladocopium24765	K05012
Cladocopium25960	K10534
Cladocopium41234	K03263
Cladocopium17965	K04077
Cladocopium16826	K00060
Cladocopium38751	K02981
Cladocopium6312	K17499
Cladocopium40795	K10408
Cladocopium2747	K04855
Cladocopium36502	K17580
Cladocopium5206	K15446
Cladocopium7181	K04392
Cladocopium9630	K13611
Cladocopium40807	K12948
Cladocopium33188	K00476
Cladocopium18508	K03350
Cladocopium28428	K15085
Cladocopium4253	K06221
Cladocopium6749	K01689
Cladocopium22301	K00856
Cladocopium617	K16239
Cladocopium53	K07636
Cladocopium5023	K16900
Cladocopium41355	K14012
Cladocopium30325	K02873
Cladocopium36	K11618
Cladocopium18299	K08734
Cladocopium37419	K23999
Cladocopium9089	K01673
Cladocopium18416	K17491
Cladocopium42849	K04646
Cladocopium30740	K03350
Cladocopium41475	K08794
Cladocopium16800	K02639
Cladocopium39136	K11434
Cladocopium20346	K10380
Cladocopium15970	K20526
Cladocopium8114	K13762
Cladocopium44410	K06180
Cladocopium43583	K13412
Cladocopium21157	K11978
Cladocopium23460	K15789
Cladocopium454	K03167
Cladocopium2422	K03320
Cladocopium30216	K10860
Cladocopium7344	K01874
Cladocopium7729	K05613
Cladocopium5500	K04874
Cladocopium20487	K01176
Cladocopium45298	K05309
Cladocopium4708	K08857
Cladocopium22284	K27692
Cladocopium31778	K00135
Cladocopium23633	K12184
Cladocopium12079	K13989
Cladocopium43459	K09255
Cladocopium15335	K01488
Cladocopium41629	K18055
Cladocopium43513	K06630
Cladocopium15836	K01210
Cladocopium38852	K09580
Cladocopium6474	K00558
Cladocopium45272	K11625
Cladocopium36529	K08994
Cladocopium12782	K10587
Cladocopium25477	K02183
Cladocopium9777	K19329
Cladocopium543	K02412
Cladocopium42685	K02971
Cladocopium41146	K06269
Cladocopium39293	K11703
Cladocopium37733	K05542
Cladocopium40843	K03929
Cladocopium23875	K00837
Cladocopium33281	K00726
Cladocopium14606	K13613
Cladocopium378	K11527
Cladocopium23759	K22614
Cladocopium29560	K15371
Cladocopium30692	K15502
Cladocopium16468	K01153
Cladocopium24427	K01697
Cladocopium23035	K05970
Cladocopium26398	K01262
Cladocopium3259	K10277
Cladocopium34738	K15430
Cladocopium16802	K06131
Cladocopium16376	K09560
Cladocopium19761	K17508
Cladocopium36030	K08884
Cladocopium23600	K17586
Cladocopium174	K03526
Cladocopium42899	K22848
Cladocopium33209	K19360
Cladocopium24660	K13886
Cladocopium18779	K06179
Cladocopium12723	K02694
Cladocopium35519	K03768
Cladocopium37413	K03737
Cladocopium5874	K04371
Cladocopium31902	K10408
Cladocopium10190	K23029
Cladocopium14949	K04460
Cladocopium31155	K15042
Cladocopium797	K01886
Cladocopium19680	K22763
Cladocopium39455	K16289
Cladocopium6	K07777
Cladocopium1663	K16726
Cladocopium8014	K07512
Cladocopium34541	K14213
Cladocopium14450	K13412
Cladocopium6767	K10592
Cladocopium320	K03544
Cladocopium28787	K11131
Cladocopium25101	K15027
Cladocopium2470	K04885
Cladocopium11425	K04043
Cladocopium8532	K17839
Cladocopium43989	K01128
Cladocopium22150	K12443
Cladocopium17338	K01922
Cladocopium28819	K10848
Cladocopium15415	K09272
Cladocopium19537	K01379
Cladocopium40875	K14550
Cladocopium674	K10441
Cladocopium21037	K13412
Cladocopium44219	K06158
Cladocopium20288	K02575
Cladocopium695	K13542
Cladocopium10662	K06530
Cladocopium187	K01867
Cladocopium5409	K20028
Cladocopium44070	K22763
Cladocopium11958	K06180
Cladocopium34908	K21440
Cladocopium41655	K04460
Cladocopium15791	K18643
Cladocopium17668	K10414
Cladocopium32681	K25164
Cladocopium8294	K14079
Cladocopium39557	K18406
Cladocopium42785	K20877
Cladocopium15606	K12614
Cladocopium36375	K17256
Cladocopium30296	K10669
Cladocopium30167	K08808
Cladocopium27886	K06978
Cladocopium4804	K00871
Cladocopium11784	K27590
Cladocopium26775	K00948
Cladocopium12859	K10394
Cladocopium39338	K13126
Cladocopium30665	K01950
Cladocopium3046	K24509
Cladocopium1948	K06689
Cladocopium5120	K06180
Cladocopium6918	K01624
