Cladocopium16447	-
Cladocopium667	Sodium/calcium exchanger protein
Cladocopium16345	tyrosine-tRNA ligase activity
Cladocopium36323	Belongs to the DEAD box helicase family
Cladocopium37270	ATP citrate synthase activity
Cladocopium27445	Yip1 domain
Cladocopium165	COG0714 MoxR-like ATPases
Cladocopium33852	Radical SAM superfamily
Cladocopium257	ATPase associated with various cellular activities AAA_3
Cladocopium6852	methionine sulfoxide reductase
Cladocopium8561	fructose-bisphosphate aldolase activity
Cladocopium428	Ribosomal protein L2
Cladocopium4461	tyrosine-tRNA ligase activity
Cladocopium10314	3',5'-cyclic-nucleotide phosphodiesterase activity
Cladocopium26865	Belongs to the short-chain dehydrogenases reductases (SDR) family
Cladocopium30780	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
Cladocopium25747	nucleic acid binding
Cladocopium12189	Proteasome beta subunits C terminal
Cladocopium32996	peptidyl-arginine methylation, to symmetrical-dimethyl arginine
Cladocopium30043	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Cladocopium6494	Belongs to the DEAD box helicase family
Cladocopium27469	Belongs to the PEP-utilizing enzyme family
Cladocopium1016	Sugar (and other) transporter
Cladocopium22047	calmodulin
Cladocopium10481	Belongs to the DEAD box helicase family
Cladocopium13660	nucleotide catabolic process
Cladocopium121	Catalyzes the ADP transfer from ATP to D-glycero-beta-D- manno-heptose 1-phosphate, yielding ADP-D-glycero-beta-D-manno- heptose
Cladocopium33763	dynein light chain binding
Cladocopium261	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome
Cladocopium38094	protein disulfide oxidoreductase activity
Cladocopium2963	DNA polymerase A domain
Cladocopium13043	Sodium/hydrogen exchanger family
Cladocopium600	Belongs to the ABC transporter superfamily
Cladocopium27933	methyltransferase activity
Cladocopium43393	Asparaginyl-tRNA synthetase
Cladocopium28858	PFAM Calcium calmodulin dependent protein kinase II association-domain protein
Cladocopium8041	Belongs to the iron ascorbate-dependent oxidoreductase family
Cladocopium21786	ATPase activity, coupled to transmembrane movement of substances
Cladocopium2284	reductase
Cladocopium6508	Peptidyl-prolyl cis-trans isomerase
Cladocopium7399	Acyl transferase domain in polyketide synthase (PKS) enzymes.
Cladocopium39618	catechol O-methyltransferase activity
Cladocopium35262	Belongs to the peptidase C1 family
Cladocopium25174	RIO1 family
Cladocopium35256	Zinc finger, DHHC-type containing 9
Cladocopium11516	ATP synthase
Cladocopium39641	Inosine-uridine preferring nucleoside hydrolase
Cladocopium24151	Phenylalanyl-tRNA synthetase, beta subunit
Cladocopium10891	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
Cladocopium4699	kinesin. Source PGD
Cladocopium11488	structural constituent of cytoskeleton
Cladocopium6162	UDP-glucoronosyl and UDP-glucosyl transferase
Cladocopium17373	Bifunctional glutamate proline--tRNA ligase
Cladocopium11356	-
Cladocopium18798	Glycosyl hydrolase family 20, domain 2
Cladocopium6289	6-phosphofructokinase activity
Cladocopium643	COG1167 Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs
Cladocopium4637	leukotriene-A4 hydrolase activity
Cladocopium6141	regulation of cell proliferation
Cladocopium20952	Enolase, C-terminal TIM barrel domain
Cladocopium7652	COG0639 Diadenosine tetraphosphatase and related serine threonine protein phosphatases
Cladocopium21449	ribulose-phosphate 3-epimerase activity
Cladocopium41168	Glycogen recognition site of AMP-activated protein kinase
Cladocopium2170	methyltransferase activity
Cladocopium42000	methyltransferase activity
Cladocopium21252	dual specificity protein phosphatase
Cladocopium36780	-
Cladocopium3055	Amidase
Cladocopium14082	adenylate cyclase-activating adrenergic receptor signaling pathway involved in positive regulation of heart rate
Cladocopium9018	Protein of unknown function (DUF663)
Cladocopium34332	AAA domain
Cladocopium20563	Protein tyrosine kinase
Cladocopium41384	glycine hydroxymethyltransferase activity
Cladocopium27497	-
Cladocopium36348	Lysosomal Pro-X carboxypeptidase
Cladocopium8495	assists the folding of proteins upon ATP hydrolysis
Cladocopium2667	C-terminal region of MMR_HSR1 domain
Cladocopium21550	-
Cladocopium19732	RNA recognition motif 2
Cladocopium32266	hydrolases or acyltransferases (alpha beta hydrolase superfamily)
Cladocopium39210	Protein tyrosine kinase
Cladocopium13378	isomerase activity
Cladocopium36151	Catalytic subunit of the tRNA-splicing ligase complex that acts by directly joining spliced tRNA halves to mature-sized tRNAs by incorporating the precursor-derived splice junction phosphate into the mature tRNA as a canonical 3',5'- phosphodiester. May act as
Cladocopium4348	activity. It is involved in the biological process described with oxidation-reduction process
Cladocopium42125	peptidyl-arginine hydroxylation
Cladocopium41905	aldose 1-epimerase activity
Cladocopium15330	tRNA (uracil) methyltransferase activity
Cladocopium24137	COGs COG0395 ABC-type sugar transport system permease component
Cladocopium36836	hydroxymethylglutaryl-CoA synthase activity
Cladocopium39927	ABC transporter
Cladocopium42531	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins
Cladocopium477	Amidohydrolase
Cladocopium287	COG0515 Serine threonine protein kinase
Cladocopium19282	Serine/threonine phosphatases, family 2C, catalytic domain
Cladocopium29139	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Cladocopium4991	6-phosphofructokinase activity
Cladocopium346	Catalyzes the reversible phosphorylation of UMP to UDP
Cladocopium18620	peptidyl-prolyl cis-trans isomerase activity
Cladocopium20431	acyl-CoA hydrolase activity
Cladocopium590	and related
Cladocopium10958	PFAM SMP-30 Gluconolaconase LRE domain protein
Cladocopium32399	protein disulfide isomerase-like
Cladocopium25216	GTP-binding protein
Cladocopium16326	ATP binding
Cladocopium33109	Adaptin AP4 complex epsilon appendage platform
Cladocopium44065	Helicase associated domain (HA2)  Add an annotation
Cladocopium34475	cysteine-type peptidase activity
Cladocopium2137	Alpha beta hydrolase
Cladocopium27818	Dehydrogenase
Cladocopium39240	ATP-dependent microtubule motor activity, minus-end-directed
